transaction_date,transaction_category,transaction_description,is_public_holiday,amount_abs
2025-07-04,restaurants,Environmental would big talk answer.,1,4.259999999999991
2025-07-04,beauty,Red successful nothing reflect.,1,167.2
2025-07-04,taxi,Several full black team.,1,98.73
2025-07-04,restaurants,Operation simple he attention always resource.,1,12.64
2025-07-04,beauty,Example stage middle.,1,110.66999999999999
2025-07-04,taxi,Seven best whom crime decide indeed.,1,87.64000000000001
2025-07-04,restaurants,Card open democratic trial.,1,43.93000000000001
2025-07-04,beauty,Say consumer step huge blue.,1,122.81
2025-07-04,food,Friend big tough explain.,1,56.290000000000006
2025-07-04,restaurants,Already want spring how institution early.,1,66.96
2025-07-04,taxi,First newspaper simple movement air charge.,1,161.84
2025-07-04,taxi,Benefit particularly involve join surface over.,1,62.37
2025-07-04,food,Whatever no read.,1,49.6
2025-07-04,beauty,Source various spend I ago there.,1,119.16
2025-07-04,beauty,Manage care including big out sea.,1,113.19
2025-07-04,restaurants,Line source stuff few Congress base.,1,114.48
2025-07-04,fuel,Sometimes tax fine ask young democratic serve.,1,10.019999999999996
2025-07-04,beauty,Economy sound prove world man simple culture.,1,144.91
2025-07-04,restaurants,Imagine whole very improve building you TV.,1,11.479999999999997
2025-07-04,restaurants,Career stay appear view.,1,129.42000000000002
2025-07-04,beauty,Strong seem before.,1,46.74
2025-07-04,fuel,May window or.,1,19.11
2025-07-04,taxi,Sure agree authority pick song million.,1,26.159999999999997
2025-07-04,taxi,Arrive discussion position claim say seven.,1,45.040000000000006
2025-07-04,taxi,Provide evidence lose fact Mrs start inside.,1,21.72
2025-07-04,taxi,Station off reduce.,1,175.99
2025-07-04,fuel,Information process race laugh fast.,1,162.26
2025-07-04,food,Expect push factor ground form.,1,67.71
2025-07-04,fuel,Focus become my most up will itself.,1,86.15
2025-07-04,beauty,Military move now put word note.,1,36.71
2025-07-04,beauty,Live entire vote scene fly turn page.,1,38.81
2025-07-04,taxi,Its possible discussion debate example.,1,170.62
2025-07-04,restaurants,Heart base Mrs true watch edge individual.,1,62.49
2025-07-04,taxi,Medical rock star easy.,1,108.13
2025-07-04,beauty,Ready sport treatment enjoy example man figure write.,1,88.82000000000001
2025-07-04,restaurants,Fight imagine your far hand knowledge among.,1,47.71
2025-07-04,beauty,Difference medical town great.,1,152.3
2025-07-04,fuel,Approach career major without.,1,121.19
2025-07-04,fuel,Worry set loss forward brother fish.,1,39.830000000000005
2025-07-04,beauty,Its same work include compare necessary high.,1,121.96
2025-07-04,taxi,Lot draw send central foot now can.,1,64.78999999999999
2025-07-04,taxi,Suggest player education thousand add article.,1,159.43
2025-07-04,food,Argue knowledge pretty.,1,53.39
2025-07-04,fuel,Tough front more him race well before.,1,9.799999999999997
2025-07-04,fuel,Individual garden high choice.,1,61.37
2025-07-04,beauty,Television hard than really forget practice begin.,1,85.43
2025-07-04,beauty,Series movement big stop decade run security.,1,7.530000000000001
2025-07-04,fuel,Suggest take impact rock sometimes.,1,1.1499999999999986
2025-07-04,beauty,National event age.,1,22.61
2025-07-04,restaurants,Must machine turn civil.,1,39.870000000000005
